emissor,asset_class,grupo,tier,status,cobertura_oficial_cvm,tipo_match,confianca_match,companhia_casada,cnpj_casado,codigo_cvm_casado,identificador_usado,n_candidatos,candidatos,protocolos_no_ano,ultima_entrega,categorias,motivo_decisao
Vias Participações,nao_listada,nao_listada,2,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Arapuã Florestal,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Banco BV,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Banco CNH Industrial,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Banco Stellantis,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Bio Phyllas Florestal,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Ciranda Holding,nao_listada,nao_listada,3,nao_filiante,nao,sem_match,—,,,,,0,,0,,,"Nenhuma companhia do IPE casou por identificador, razão social, nome ou alias."
Fisia,nao_listada,nao_listada,3,filiante_cvm,sim,codigo_cvm,alta,FISIA COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,59546515000134,27529,cod_cvm:27529,0,,23,2026-07-16,Assembleia; Dados Econômico-Financeiros; Reunião da Administração; Valores Mobiliários negociados e detidos (art. 11 da Instr. CVM nº 358),Código CVM 27529 (cadastro_cvm(auto)) casado no IPE.
GSH Corp,nao_listada,nao_listada,3,filiante_cvm,sim,codigo_cvm,alta,GSH CORP PARTICIPAÇÕES S.A.,08397078000101,26603,cod_cvm:26603,0,,31,2026-07-01,Assembleia; Comunicado ao Mercado; Dados Econômico-Financeiros; Documentos de Oferta de Distribuição Pública; Escrituras e aditamentos de debêntures; Estatuto Social,Código CVM 26603 (cadastro_cvm(auto)) casado no IPE.
Grupo CVLB,nao_listada,nao_listada,3,filiante_cvm,sim,codigo_cvm,alta,CVLB BRASIL S.A.,16233389000155,25542,cod_cvm:25542,0,,14,2026-07-17,Assembleia; Comunicado ao Mercado; Dados Econômico-Financeiros; Estatuto Social; Fato Relevante; Informações de Companhias em Recuperação Judicial ou Extrajudicial,Código CVM 25542 (cadastro_cvm(auto)) casado no IPE.
Hospital Care,nao_listada,nao_listada,3,filiante_cvm,sim,codigo_cvm,alta,HOSPITAL CARE CALEDONIA S.A.,25249439000183,25771,cod_cvm:25771,0,,35,2026-07-24,Assembleia; Aviso aos Acionistas; Dados Econômico-Financeiros; Estatuto Social; Reunião da Administração,Código CVM 25771 (cadastro_cvm(auto)) casado no IPE.
